Name,Cuisine,French,English,Italian,Chinese,Arabic,Czech,Danish,Dutch,German,Greek,Hebrew,Hungarian,Indonesian,Japanese,Korean,Norwegian,Polish,Portuguese,Russian,Serbian,Slovak,Spanish,Swedish,Thai,Turkish,Vietnamese
Le Cappiello, French,82.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
La Meduse, Searching for avail,105.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPIC, French,203.0,135.0,13.0,10.0,0.0,0.0,2.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
Les Apotres de Pigalle, South American,413.0,390.0,47.0,14.0,0.0,1.0,7.0,14.0,28.0,2.0,3.0,1.0,0.0,5.0,0.0,6.0,3.0,19.0,8.0,1.0,0.0,57.0,16.0,0.0,2.0,0.0
Epicure, French,832.0,961.0,112.0,96.0,0.0,0.0,2.0,3.0,37.0,3.0,0.0,0.0,0.0,85.0,9.0,6.0,1.0,54.0,42.0,0.0,0.0,58.0,8.0,2.0,3.0,0.0
L'Abeille, French,232.0,110.0,9.0,24.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,6.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Le Cinq, French,610.0,927.0,69.0,82.0,0.0,2.0,2.0,4.0,17.0,3.0,0.0,0.0,0.0,49.0,14.0,3.0,0.0,50.0,35.0,0.0,0.0,48.0,7.0,0.0,2.0,0.0
Le Gabriel, French,184.0,69.0,6.0,28.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Boutary, French,230.0,173.0,17.0,12.0,1.0,0.0,5.0,5.0,8.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,7.0,5.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0
Il Etait Un Square, French,1030.0,272.0,55.0,44.0,0.0,0.0,22.0,7.0,18.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15.0,5.0,0.0,0.0,30.0,1.0,0.0,1.0,0.0
Sourire Le Restaurant, French,129.0,30.0,3.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Pur' - Jean-Francois Rouquette, French,391.0,295.0,25.0,41.0,0.0,0.0,4.0,5.0,9.0,1.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,15.0,18.0,0.0,0.0,22.0,1.0,0.0,1.0,0.0
La Bonne Excuse, French,224.0,337.0,12.0,57.0,0.0,0.0,0.0,4.0,8.0,2.0,1.0,0.0,0.0,7.0,3.0,1.0,0.0,7.0,8.0,0.0,0.0,31.0,4.0,0.0,1.0,0.0
Bateau le Calife, French,576.0,1201.0,114.0,79.0,0.0,0.0,6.0,16.0,63.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,24.0,7.0,0.0,1.0,64.0,7.0,0.0,2.0,1.0
Kei, French,411.0,133.0,19.0,23.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,48.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0
Alliance, French,150.0,68.0,5.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
New Jawad Longchamp, Indian,127.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Pierre Gagnaire, French,458.0,248.0,14.0,39.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,8.0,12.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0
Paris Picnic - Restaurant Reviews, French,37.0,302.0,24.0,32.0,1.0,1.0,1.0,8.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,0.0,0.0,31.0,8.0,0.0,0.0,0.0
Le 114 Faubourg, French,655.0,496.0,42.0,46.0,0.0,1.0,2.0,4.0,17.0,0.0,0.0,0.0,0.0,39.0,2.0,2.0,2.0,23.0,20.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0
AlKaram, Lebanese,384.0,85.0,18.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
L'Affineur' Affine, French,246.0,229.0,142.0,0.0,0.0,0.0,3.0,4.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,23.0,10.0,0.0,0.0,40.0,1.0,0.0,2.0,0.0
Pop's, Italian,118.0,43.0,1.0,6.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
